pause_trigger_t,response,word,offset_img,duration_frames,Ethnicity,offset_word,word_score_pc,Scan day,duration_measured_img,condition,word_score_warriner,Gender,onset_word,delay_frames_after,ID,Session,delay_frames_before,img,duration_measured_word,no,rt,word_label,Age,correct_resp,key_t,onset_img
,e,beach,2.4579839000070933,42,isjfj,1.702261600003112,-2.8031613090757777,Mon,0.6950349000107963,faceWord_exp,7.21,female,1.010237699985737,180,hfuihfis,1,120,image_stim_p.png,0.6920239000173751,1,-0.3578593999845907,pos,ljf,0,1.4050896000117064,1.762948999996297
,i,hamster,6.909351500013145,42,isjfj,6.158145599998534,-1.1856791528275217,Mon,0.6923409000155516,faceWord_exp,5.88,female,5.463260699994862,180,hfuihfis,1,120,image_stim_p.png,0.6948849000036716,2,-0.6406985000066925,neu,ljf,1,5.576312099990901,6.217010599997593
