pause_trigger_t,session,duration_frames,delay_frames_before,onset_word,delay_frames_after,correct_resp,word_score_warriner,ID,offset_word,scan day,duration_measured_word,key_t,rt,duration_measured_img,gender,word_label,img,condition,word,offset_img,age,onset_img,word_score_pc,response,no
,1,42,120,1.006539599999087,180,1,4.21,hiii,1.6974459000048228,Mon,0.6909063000057358,1.5151300000143237,-0.2503433999954723,0.7063804999925196,female,neg,image_stim_n.png,faceWord_exp,policeman,2.4718539000023156,21,1.765473400009796,0.3970426687639879,e,1
,1,42,120,5.476946700015105,180,1,5.3,hiii,6.172114100016188,Mon,0.6951674000010826,5.807495300017763,-0.42371400000411086,0.691047999978764,female,neu,image_stim_p.png,faceWord_exp,embassy,6.922257300000638,21,6.231209300021874,-0.059164516999159,i,2
,1,42,120,9.924864000000525,180,1,6.9,hiii,10.622088600008283,Mon,0.6972246000077575,10.406792800000403,-0.268238900025608,0.6974482999939937,female,pos,image_stim_p.png,faceWord_exp,pineapple,11.372480000020005,21,10.675031700026011,-1.6708771386143015,i,3
